Institution,Country,Latitude,Longitude
University of Konstanz,Germany,47.6898803,9.187944200000002
Samsung R&D Institute China - Beijing,China,39.904211,116.407395
Apple,USA,37.09024,-95.712891
Harvard Business School,United States,42.3655147,-71.1221412
TU Munich,Germany,48.1487646,11.5681764
Eurecom,France,43.614386,7.071124999999999
"WeChat AI, Tencent Inc.",China,35.86166,104.195397
Magnum Engine,NA,,
ETH Zurich,Switzerland,47.3768866,8.541694
Bar-Ilan University,Israel,32.0691989,34.8430876
University of Sheffield,United Kingdom,53.3813502,-1.4884229
"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",France,48.8471036,2.357499
Microsoft Corporation,United States,37.09024,-95.712891
"UC San Diego, University of California, San Diego",United States,32.881168,-117.2343605
OxAI Safety Hub,United Kingdom,55.378051,-3.435973
MediaTek,Taiwan,23.69781,120.960515
IIS/Academia Sinica,Taiwan,25.0411727,121.6146518
Université Paris-Dauphine (PSL),France,48.8701419,2.2736197
shanghai university,China,31.31480359999999,121.382746
Institute of Informatics - Federal University of Rio Grande do Sul,Brazil,-29.3646459,-51.6657692
The AI Institute,NA,,
Università degli Studi di Firenze,Italy,43.7777997,11.2593961
Valeo.ai,NA,,
Xi'an Jiaotong University,China,34.250803,108.983693
"Indian Institute of Technology, Madras",India,12.9915639,80.2336857
Ehime University,Japan,33.8526386,132.7743413
CUHK(SZ),China,22.687845,114.209931
Poznan University of Technology,Poland,52.3941095,16.91838
University of North Carolina at Chapel Hill,United States,35.9049122,-79.0469134
Layer 6,Canada,43.6595009,-79.3896697
Moonshot AI Ltd,NA,,
universite paris saclay,France,48.7098718,2.1666978
Twelvelabs,NA,,
"University of Washington, University of Washington",USA,47.65464069999999,-122.3074579
University of Florida CISE Department,United States,29.6465428,-82.3533266
Shenzhen University,China,22.53306,113.932813
NAVER AI LAB,South Korea,35.907757,127.766922
"Computer Science, Tsinghua University",China,40.001369,116.333823
"Centre for Artificial Intelligence and Robotics, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",China,35.86166,104.195397
Ecole normale supérieure,France,48.8418769,2.3451397
"CentraleSupelec, Paris-Saclay University",France,48.709445,2.1661629
Meitu Inc.,China,35.86166,104.195397
Air Force Research Laboratory,United States,37.09024,-95.712891
"Center for Security and Emerging Technology, Georgetown University",United States,38.9076089,-77.07225849999999
Cnam,France,48.86674600000001,2.3554313
National Chiao Tung University,Taiwan,24.7844271,120.9957022
