Institution,Latitude,Longitude,Publications_within_10km
Harvard University,42.3744368,-71.1182488,1559.0
Massachusetts Institute of Technology,42.360091,-71.09416,1559.0
University of California Berkeley,37.87015100000001,-122.2594606,629.0
University of Oxford,51.75704289999999,-1.2545179,401.0
Princeton University,40.3430942,-74.65507389999999,386.0
Georgia Institute of Technology,33.7783046,-84.3991657,323.0
Technische Universität München,48.1487646,11.5681764,253.0
University of Amsterdam,52.35581819999999,4.955726299999999,145.0
KTH Royal Institute of Technology,59.3498706,18.0702566,55.0
KU Leuven,50.87809710000001,4.699705300000001,48.0
German Research Center for AI,49.4295181,7.7513891,29.0
