,Institution,Country,Latitude,Longitude,Affiliation,Count,geometry
0,University of Konstanz,Germany,47.6898803,9.187944200000002,University of Konstanz,1.0,POINT (9.187944200000002 47.6898803)
1,Samsung R&D Institute China - Beijing,China,39.904211,116.407395,Samsung R&D Institute China - Beijing,1.0,POINT (116.407395 39.904211)
2,Apple,USA,37.09024,-95.712891,Apple,232.0,POINT (-95.712891 37.09024)
3,Harvard Business School,United States,42.3655147,-71.1221412,Harvard Business School,3.0,POINT (-71.1221412 42.3655147)
4,TU Munich,Germany,48.1487646,11.5681764,TU Munich,1.0,POINT (11.5681764 48.1487646)
5,Eurecom,France,43.614386,7.071124999999999,Eurecom,7.0,POINT (7.071124999999999 43.614386)
6,"WeChat AI, Tencent Inc.",China,35.86166,104.195397,"WeChat AI, Tencent Inc.",14.0,POINT (104.195397 35.86166)
7,ETH Zurich,Switzerland,47.3768866,8.541694,ETH Zurich,24.0,POINT (8.541694 47.3768866)
8,Bar-Ilan University,Israel,32.0691989,34.8430876,Bar-Ilan University,23.0,POINT (34.8430876 32.0691989)
9,University of Sheffield,United Kingdom,53.3813502,-1.4884229,University of Sheffield,4.0,POINT (-1.4884229 53.3813502)
10,"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",France,48.8471036,2.357499,"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",2.0,POINT (2.357499 48.8471036)
11,Microsoft Corporation,United States,37.09024,-95.712891,Microsoft Corporation,3.0,POINT (-95.712891 37.09024)
12,"UC San Diego, University of California, San Diego",United States,32.881168,-117.2343605,"UC San Diego, University of California, San Diego",6.0,POINT (-117.2343605 32.881168)
13,OxAI Safety Hub,United Kingdom,55.378051,-3.435973,OxAI Safety Hub,1.0,POINT (-3.435973 55.378051)
14,MediaTek,Taiwan,23.69781,120.960515,MediaTek,1.0,POINT (120.960515 23.69781)
15,IIS/Academia Sinica,Taiwan,25.0411727,121.6146518,,1.0,POINT (121.6146518 25.0411727)
16,Université Paris-Dauphine (PSL),France,48.8701419,2.2736197,Université Paris-Dauphine (PSL),1.0,POINT (2.2736197 48.8701419)
17,shanghai university,China,31.31480359999999,121.382746,shanghai university,1.0,POINT (121.382746 31.31480359999999)
18,Institute of Informatics - Federal University of Rio Grande do Sul,Brazil,-29.3646459,-51.6657692,Institute of Informatics - Federal University of Rio Grande do Sul,1.0,POINT (-51.6657692 -29.3646459)
19,Università degli Studi di Firenze,Italy,43.7777997,11.2593961,Università degli Studi di Firenze,1.0,POINT (11.2593961 43.7777997)
20,Xi'an Jiaotong University,China,34.250803,108.983693,Xi'an Jiaotong University,108.0,POINT (108.983693 34.250803)
21,"Indian Institute of Technology, Madras",India,12.9915639,80.2336857,"Indian Institute of Technology, Madras",3.0,POINT (80.2336857 12.9915639)
22,Ehime University,Japan,33.8526386,132.7743413,Ehime University,1.0,POINT (132.7743413 33.8526386)
23,CUHK(SZ),China,22.687845,114.209931,CUHK(SZ),4.0,POINT (114.209931 22.687845)
24,Poznan University of Technology,Poland,52.3941095,16.91838,Poznan University of Technology,6.0,POINT (16.91838 52.3941095)
25,University of North Carolina at Chapel Hill,United States,35.9049122,-79.0469134,University of North Carolina at Chapel Hill,65.0,POINT (-79.0469134 35.9049122)
26,Layer 6,Canada,43.6595009,-79.3896697,Layer 6,2.0,POINT (-79.3896697 43.6595009)
27,universite paris saclay,France,48.7098718,2.1666978,,1.0,POINT (2.1666978 48.7098718)
28,"University of Washington, University of Washington",USA,47.65464069999999,-122.3074579,"University of Washington, University of Washington",3.0,POINT (-122.3074579 47.65464069999999)
29,University of Florida CISE Department,United States,29.6465428,-82.3533266,University of Florida CISE Department,1.0,POINT (-82.3533266 29.6465428)
30,Shenzhen University,China,22.53306,113.932813,Shenzhen University,12.0,POINT (113.932813 22.53306)
31,NAVER AI LAB,South Korea,35.907757,127.766922,NAVER AI LAB,1.0,POINT (127.766922 35.907757)
32,"Computer Science, Tsinghua University",China,40.001369,116.333823,"Computer Science, Tsinghua University",2.0,POINT (116.333823 40.001369)
33,"Centre for Artificial Intelligence and Robotics, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",China,35.86166,104.195397,"Centre for Artificial Intelligence and Robotics, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",3.0,POINT (104.195397 35.86166)
34,Ecole normale supérieure,France,48.8418769,2.3451397,Ecole normale supérieure,1.0,POINT (2.3451397 48.8418769)
35,"CentraleSupelec, Paris-Saclay University",France,48.709445,2.1661629,,1.0,POINT (2.1661629 48.709445)
36,Meitu Inc.,China,35.86166,104.195397,Meitu Inc.,1.0,POINT (104.195397 35.86166)
37,Air Force Research Laboratory,United States,37.09024,-95.712891,Air Force Research Laboratory,1.0,POINT (-95.712891 37.09024)
38,"Center for Security and Emerging Technology, Georgetown University",United States,38.9076089,-77.07225849999999,,1.0,POINT (-77.07225849999999 38.9076089)
39,Cnam,France,48.86674600000001,2.3554313,,1.0,POINT (2.3554313 48.86674600000001)
40,National Chiao Tung University,Taiwan,24.7844271,120.9957022,National Chiao Tung University,10.0,POINT (120.9957022 24.7844271)
41,Zoom,USA,37.09024,-95.712891,Zoom,4.0,POINT (-95.712891 37.09024)
42,Vidyasirimedhi Institute of Science and Technology (VISTEC),Thailand,13.0020925,101.4435544,Vidyasirimedhi Institute of Science and Technology (VISTEC),1.0,POINT (101.4435544 13.0020925)
43,University of Maryland,United States,39.2892118,-76.6236815,University of Maryland,25.0,POINT (-76.6236815 39.2892118)
44,Ghent University,Belgium,51.0466584,3.7273733,Ghent University,5.0,POINT (3.7273733 51.0466584)
45,Université de Lorraine,France,48.6961769,6.1765379,Université de Lorraine,4.0,POINT (6.1765379 48.6961769)
46,Universität Freiburg,Germany,47.9935441,7.845949599999999,Universität Freiburg,9.0,POINT (7.845949599999999 47.9935441)
47,State University of New York at Binghamton,United States,42.0894288,-75.9694885,State University of New York at Binghamton,2.0,POINT (-75.9694885 42.0894288)
48,Indian Statistical Institute,India,22.6486824,88.37689139999999,,1.0,POINT (88.37689139999999 22.6486824)
49,Fujitsu Research and Development Center Co. Ltm.,Japan,36.204824,138.252924,Fujitsu Research and Development Center Co. Ltm.,2.0,POINT (138.252924 36.204824)
50,Université Gustave Eiffel - ESIEE Paris,France,48.8398086,2.5836143,,1.0,POINT (2.5836143 48.8398086)
51,"Eastern Institute of Technology, Ningbo",China,29.868336,121.54399,"Eastern Institute of Technology, Ningbo",1.0,POINT (121.54399 29.868336)
52,Carnegie-Mellon University,United States,40.4432027,-79.9428499,Carnegie-Mellon University,16.0,POINT (-79.9428499 40.4432027)
53,NAVER AI Lab,South Korea,35.907757,127.766922,NAVER AI Lab,9.0,POINT (127.766922 35.907757)
54,The University of Manchester,United Kingdom,53.4668498,-2.2338837,The University of Manchester,1.0,POINT (-2.2338837 53.4668498)
55,Universität Siegen,Germany,50.911246,8.0254579,Universität Siegen,9.0,POINT (8.0254579 50.911246)
56,NXAI,Namibia,-22.95764,18.49041,NXAI,5.0,POINT (18.49041 -22.95764)
57,"SEAS, Harvard University",United States,42.3633027,-71.12604209999999,,1.0,POINT (-71.12604209999999 42.3633027)
58,LMU München,Germany,48.1509185,11.5798609,LMU München,2.0,POINT (11.5798609 48.1509185)
59,"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",China,35.86166,104.195397,"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",1.0,POINT (104.195397 35.86166)
60,Layer 6 AI,Canada,43.6595009,-79.3896697,Layer 6 AI,11.0,POINT (-79.3896697 43.6595009)
61,Swiss Federal Institute of Technology Lausanne,Switzerland,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,117.0,POINT (6.5667576 46.5190557)
62,GlaxoSmithKline plc,United Kingdom,55.378051,-3.435973,,1.0,POINT (-3.435973 55.378051)
63,SNU,South Korea,37.4648267,126.9571988,SNU,1.0,POINT (126.9571988 37.4648267)
64,"Biomedical Engineering, Tsinghua University",China,39.9996674,116.3264439,"Biomedical Engineering, Tsinghua University",1.0,POINT (116.3264439 39.9996674)
65,Pacific Northwest National Lab,United States,37.09024,-95.712891,Pacific Northwest National Lab,3.0,POINT (-95.712891 37.09024)
66,Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),Germany,52.438275,13.0125662,Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),1.0,POINT (13.0125662 52.438275)
67,The University of Sydney,Australia,-25.274398,133.775136,The University of Sydney,3.0,POINT (133.775136 -25.274398)
68,"IBM Research, Israel",Israel,31.046051,34.851612,"IBM Research, Israel",1.0,POINT (34.851612 31.046051)
69,Insitute for Basic Science,South Korea,35.907757,127.766922,Insitute for Basic Science,1.0,POINT (127.766922 35.907757)
70,IDEA,Norway,60.47202399999999,8.468945999999999,IDEA,2.0,POINT (8.468945999999999 60.47202399999999)
71,Harbin Engineering University,China,45.77323699999999,126.664126,Harbin Engineering University,5.0,POINT (126.664126 45.77323699999999)
72,"LIRIS, CNRS",France,45.7839508,4.7674785,"LIRIS, CNRS",1.0,POINT (4.7674785 45.7839508)
73,WeChat,China,35.86166,104.195397,WeChat,1.0,POINT (104.195397 35.86166)
74,"Indian Institute of Science, Dhirubhai Ambani Institute Of Information and Communication Technology",India,20.593684,78.96288,"Indian Institute of Science, Dhirubhai Ambani Institute Of Information and Communication Technology",1.0,POINT (78.96288 20.593684)
75,Amrita Vishwa Vidyapeetham,India,10.9037905,76.89835169999999,Amrita Vishwa Vidyapeetham,1.0,POINT (76.89835169999999 10.9037905)
76,"Department of Mathematical science, Tsinghua University",China,39.9996674,116.3264439,"Department of Mathematical science, Tsinghua University",1.0,POINT (116.3264439 39.9996674)
77,"School of Computer and Communication Sciences, EPFL - EPF Lausanne",Switzerland,46.5190557,6.5667576,"School of Computer and Communication Sciences, EPFL - EPF Lausanne",11.0,POINT (6.5667576 46.5190557)
78,University of Seoul,South Korea,37.5838657,127.0587771,University of Seoul,7.0,POINT (127.0587771 37.5838657)
79,Chuo University,Japan,36.204824,138.252924,Chuo University,2.0,POINT (138.252924 36.204824)
80,xidian university,China,35.86166,104.195397,xidian university,3.0,POINT (104.195397 35.86166)
81,Federal Institute of Ceará,Brazil,-5.4983977,-39.3206241,Federal Institute of Ceará,5.0,POINT (-39.3206241 -5.4983977)
82,Technical University of Munich,Germany,48.1487646,11.5681764,Technical University of Munich,7.0,POINT (11.5681764 48.1487646)
83,"École Polytechnique de Montréal, Université de Montréal",Canada,45.5056156,-73.61375919999999,"École Polytechnique de Montréal, Université de Montréal",3.0,POINT (-73.61375919999999 45.5056156)
84,Shanghai University,China,31.31480359999999,121.382746,Shanghai University,12.0,POINT (121.382746 31.31480359999999)
85,OMRON SINICX Corp.,Japan,35.7092149,139.7605097,OMRON SINICX Corp.,1.0,POINT (139.7605097 35.7092149)
